"pu_service_zone","do_service_zone","trips","fee_share"
"EWR","Yellow Zone","16","0.875"
"Yellow Zone","EWR","11137","0.8581"
"Yellow Zone","Yellow Zone","5266329","0.7619"
"Yellow Zone","N/A","18063","0.7547"
"Yellow Zone","Airports","81927","0.7298"
"N/A","Yellow Zone","5615","0.7158"
"Airports","Yellow Zone","243619","0.7006"
"Yellow Zone","Boro Zone","478758","0.5884"
"Boro Zone","EWR","198","0.5303"
"Boro Zone","Yellow Zone","231870","0.5239"
"N/A","N/A","6082","0.4855"
"N/A","Airports","203","0.4039"
"EWR","Boro Zone","5","0.4"
"Airports","EWR","395","0.2532"
"N/A","Boro Zone","1086","0.1961"
"Boro Zone","N/A","2054","0.131"
"N/A","EWR","192","0.0781"
"Airports","N/A","16327","0.0748"
"Airports","Boro Zone","186617","0.023"
"Airports","Airports","16249","0.0186"
"Boro Zone","Airports","9961","0.016"
"EWR","EWR","151","0.0132"
"Boro Zone","Boro Zone","361313","0.0102"
"EWR","N/A","23","0.0"
